,客户编号,交易时间,交易金额,基金类型,基金编号
0,9707,2016-04-07 10:25:09,4050,QDII-指数,161125.0
1,9707,2016-04-07 10:25:09,3560,QDII-指数,40046.0
2,9707,2016-04-07 10:25:09,3594,QDII,6309.0
3,9707,2016-04-07 10:25:09,4087,货币型,2918.0
4,9707,2016-04-07 10:25:09,3798,货币型,2324.0
5,9707,2016-04-07 10:25:09,3615,货币型,620.0
6,9708,2016-04-07 10:25:09,3482,定开债券,5529.0
7,9708,2016-04-07 10:25:09,3757,联接基金,216.0
8,9708,2016-04-27 10:25:09,4071,理财型,40033.0
9,9708,2016-04-27 10:25:09,3363,定开债券,238.0
10,9708,2016-04-27 10:25:09,3595,QDII-指数,162719.0
11,9708,2016-04-27 10:25:09,3708,货币型,4120.0
12,9709,2016-04-27 10:25:09,3443,理财型,40028.0
13,9709,2016-04-07 10:25:09,3355,债券型,5366.0
14,9709,2016-04-27 10:25:09,3812,联接基金,4598.0
15,9709,2016-04-07 10:25:09,3805,货币型,389.0
16,9709,2016-04-07 10:25:09,3893,货币型,2324.0
17,9709,2016-04-07 10:25:09,3602,QDII,5534.0
18,9710,2016-04-27 10:25:09,3432,联接基金,217017.0
19,9710,2016-04-27 10:25:09,3448,联接基金,1539.0
20,9710,2016-04-07 10:25:09,3628,货币型,4493.0
21,9710,2016-04-27 10:25:09,3971,货币型,750.0
22,9710,2016-04-27 10:25:09,4023,货币型,159004.0
23,9710,2016-04-07 10:25:09,3884,联接基金,4343.0
24,9711,2016-04-27 10:25:09,3857,混合型,519035.0
25,9711,2016-04-07 10:25:09,3980,QDII,4420.0
26,9711,2016-04-07 10:25:09,3410,定开债券,3573.0
27,9711,2016-04-07 10:25:09,3960,其他型,501300.0
28,9711,2016-04-07 10:25:09,3662,QDII,5913.0
29,9711,2016-04-27 10:25:09,3425,QDII-指数,5675.0
30,9712,2016-04-27 10:25:09,3747,联接基金,40190.0
31,9712,2016-04-27 10:25:09,4080,QDII,161116.0
32,9712,2016-04-27 10:25:09,3418,定开债券,6717.0
33,9712,2016-04-27 10:25:09,3808,货币型,712.0
34,9712,2016-04-07 10:25:09,3470,货币型,3467.0
35,9713,2016-04-27 10:25:09,4089,定开债券,2448.0
36,9713,2016-04-27 10:25:09,3835,定开债券,352.0
37,9713,2016-04-27 10:25:09,4001,货币型,5148.0
38,9713,2016-04-07 10:25:09,3654,QDII,4420.0
39,9713,2016-04-07 10:25:09,3885,联接基金,6748.0
40,9714,2016-04-07 10:25:09,4061,理财型,485122.0
41,9714,2016-04-27 10:25:09,3883,货币型,644.0
42,9714,2016-04-27 10:25:09,3494,QDII,161815.0
43,9714,2016-04-27 10:25:09,3717,理财型,90023.0
44,9714,2016-04-07 10:25:09,3492,定开债券,372.0
45,9715,2016-04-07 10:25:09,3366,QDII,2426.0
46,9715,2016-04-27 10:25:09,3580,其他型,76.0
47,9715,2016-04-07 10:25:09,3896,联接基金,6220.0
48,9715,2016-04-27 10:25:09,3522,QDII,5243.0
49,9715,2016-04-07 10:25:09,3656,定开债券,352.0
50,9715,2016-04-27 10:25:09,4087,定开债券,3573.0
51,9716,2016-04-27 10:25:09,3856,定开债券,5424.0
52,9716,2016-04-27 10:25:09,3362,货币型,13.0
53,9716,2016-04-07 10:25:09,4015,QDII,5534.0
54,9716,2016-04-27 10:25:09,3904,QDII-指数,162411.0
55,9716,2016-04-07 10:25:09,3466,货币型,5065.0
56,9717,2016-04-27 10:25:09,3784,定开债券,160523.0
57,9717,2016-04-27 10:25:09,4055,混合-FOF,6322.0
58,9717,2016-04-27 10:25:09,3392,货币型,548.0
59,9717,2016-04-07 10:25:09,3858,QDII,100055.0
60,9717,2016-04-07 10:25:09,4047,QDII,539003.0
61,9717,2016-04-07 10:25:09,3844,联接基金,519686.0
62,9718,2016-04-07 10:25:09,3432,货币型,5194.0
63,9718,2016-04-07 10:25:09,3908,其他型,3430.0
64,9718,2016-04-27 10:25:09,3955,QDII,160723.0
65,9718,2016-04-07 10:25:09,3634,货币型,618.0
66,9718,2016-04-27 10:25:09,3896,理财型,5503.0
67,9719,2016-04-27 10:25:09,3724,联接基金,4742.0
68,9719,2016-04-27 10:25:09,3990,货币型,4368.0
69,9719,2016-04-07 10:25:09,3604,其他型,531030.0
70,9719,2016-04-27 10:25:09,3776,理财型,3879.0
71,9719,2016-04-07 10:25:09,4033,联接基金,5788.0
72,9719,2016-04-27 10:25:09,3734,QDII,161229.0
73,9720,2016-04-27 10:25:09,3424,其他型,6381.0
74,9720,2016-04-27 10:25:09,3552,定开债券,3471.0
75,9720,2016-04-07 10:25:09,3906,理财型,110050.0
76,9720,2016-04-27 10:25:09,3578,股票型,1781.0
77,9720,2016-04-27 10:25:09,3605,QDII,160923.0
78,9720,2016-04-27 10:25:09,3703,货币型,750.0
79,9721,2016-04-27 10:25:09,3769,联接基金,3766.0
80,9721,2016-04-27 10:25:09,4069,货币型,560.0
81,9721,2016-04-07 10:25:09,3834,货币型,5194.0
82,9721,2016-04-27 10:25:09,3656,其他型,1041.0
83,9721,2016-04-07 10:25:09,3421,股票指数,502036.0
84,9721,2016-04-27 10:25:09,4014,货币型,1134.0
85,9722,2016-04-07 10:25:09,3541,货币型,581.0
86,9722,2016-04-27 10:25:09,3859,联接基金,942.0
87,9722,2016-04-07 10:25:09,4067,联接基金,202017.0
88,9722,2016-04-07 10:25:09,3594,QDII-指数,5675.0
89,9722,2016-04-27 10:25:09,3730,货币型,1234.0
90,9722,2016-04-27 10:25:09,3393,其他型,76.0
91,9723,2016-04-07 10:25:09,3871,联接基金,5830.0
92,9723,2016-04-27 10:25:09,3553,混合-FOF,6306.0
93,9723,2016-04-07 10:25:09,4037,股票型,5570.0
94,9723,2016-04-07 10:25:09,3760,QDII,160923.0
95,9723,2016-04-07 10:25:09,3354,QDII,202801.0
96,9723,2016-04-07 10:25:09,3667,QDII,163208.0
97,9724,2016-04-27 10:25:09,3750,QDII,4420.0
98,9724,2016-04-27 10:25:09,3985,定开债券,3662.0
99,9724,2016-04-07 10:25:09,4050,混合型,3343.0
100,9724,2016-04-27 10:25:09,4055,联接基金,6286.0
101,9724,2016-04-27 10:25:09,3655,货币型,548.0
102,9725,2016-04-07 10:25:09,3346,货币型,860.0
103,9725,2016-04-07 10:25:09,3728,货币型,300.0
104,9725,2016-04-07 10:25:09,3634,QDII,3321.0
105,9725,2016-04-27 10:25:09,3608,理财型,470060.0
106,9725,2016-04-27 10:25:09,3436,货币型,540011.0
107,9726,2016-04-07 10:25:09,3828,股票型,519193.0
108,9726,2016-04-27 10:25:09,3924,定开债券,817.0
109,9726,2016-04-27 10:25:09,3448,债券型,270048.0
110,9726,2016-04-07 10:25:09,3966,混合型,5977.0
111,9726,2016-04-27 10:25:09,4079,定开债券,166904.0
112,9727,2016-04-27 10:25:09,3920,货币型,4699.0
113,9727,2016-04-07 10:25:09,3556,货币型,730.0
114,9727,2016-04-27 10:25:09,4019,货币型,217004.0
115,9727,2016-04-27 10:25:09,3960,联接基金,5737.0
116,9727,2016-04-07 10:25:09,3707,货币型,389.0
117,9727,2016-04-27 10:25:09,3528,货币型,710501.0
118,9728,2016-04-27 10:25:09,3707,联接基金,501302.0
119,9728,2016-04-07 10:25:09,3804,理财型,485120.0
120,9728,2016-04-07 10:25:09,3699,定开债券,2704.0
121,9728,2016-04-27 10:25:09,3742,货币型,1842.0
122,9728,2016-04-27 10:25:09,3490,货币型,903.0
123,9729,2016-04-07 10:25:09,3557,固定收益,150152.0
124,9729,2016-04-27 10:25:09,3394,QDII,163208.0
125,9729,2016-04-07 10:25:09,3426,定开债券,3605.0
126,9729,2016-04-07 10:25:09,3443,定开债券,160523.0
127,9729,2016-04-27 10:25:09,3853,定开债券,2048.0
128,9730,2016-04-27 10:25:09,3389,货币型,693.0
129,9730,2016-04-07 10:25:09,3961,理财型,530028.0
130,9730,2016-04-27 10:25:09,3812,QDII,519601.0
131,9730,2016-04-07 10:25:09,3582,其他型,76.0
132,9730,2016-04-27 10:25:09,3708,联接基金,217019.0
133,9730,2016-04-27 10:25:09,3855,定开债券,3309.0
134,9731,2016-04-07 10:25:09,3616,债券型,40045.0
135,9731,2016-04-07 10:25:09,3940,定开债券,160128.0
136,9731,2016-04-27 10:25:09,3825,联接基金,6293.0
137,9731,2016-04-07 10:25:09,3816,联接基金,2903.0
138,9731,2016-04-27 10:25:09,4019,货币型,371.0
139,9732,2016-04-27 10:25:09,3844,货币型,559.0
140,9732,2016-04-27 10:25:09,3850,定开债券,2689.0
141,9732,2016-04-07 10:25:09,4030,货币型,320002.0
142,9732,2016-04-07 10:25:09,3517,货币型,855.0
143,9732,2016-04-27 10:25:09,3376,QDII,3464.0
144,9732,2016-04-27 10:25:09,3903,定开债券,3051.0
145,9733,2016-04-07 10:25:09,3561,联接基金,5829.0
146,9733,2016-04-27 10:25:09,3786,其他型,530030.0
147,9733,2016-04-07 10:25:09,3915,定开债券,345.0
148,9733,2016-04-27 10:25:09,3387,定开债券,1545.0
149,9733,2016-04-27 10:25:09,3742,货币型,771.0
150,9733,2016-04-07 10:25:09,3361,股票指数,164905.0
151,9734,2016-04-07 10:25:09,3630,理财型,798.0
152,9734,2016-04-07 10:25:09,3939,理财型,809.0
153,9734,2016-04-07 10:25:09,3669,QDII,6309.0
154,9734,2016-04-27 10:25:09,3373,定开债券,3530.0
155,9734,2016-04-07 10:25:09,3923,货币型,1931.0
156,9734,2016-04-27 10:25:09,3705,货币型,161622.0
157,9735,2016-04-07 10:25:09,3376,混合-FOF,5759.0
158,9735,2016-04-27 10:25:09,3731,理财型,3879.0
159,9735,2016-04-27 10:25:09,3784,定开债券,161619.0
160,9735,2016-04-27 10:25:09,3445,联接基金,6119.0
161,9735,2016-04-07 10:25:09,3803,定开债券,2689.0
162,9736,2016-04-07 10:25:09,3473,定开债券,161911.0
163,9736,2016-04-27 10:25:09,3796,货币型,675061.0
164,9736,2016-04-27 10:25:09,3756,联接基金,2903.0
165,9736,2016-04-27 10:25:09,3872,其他型,531030.0
166,9736,2016-04-27 10:25:09,3748,货币型,9.0
167,9736,2016-04-27 10:25:09,3615,货币型,5194.0
168,9737,2016-04-07 10:25:09,3418,定开债券,623.0
169,9737,2016-04-27 10:25:09,3630,定开债券,106.0
170,9737,2016-04-07 10:25:09,3397,定开债券,295.0
171,9737,2016-04-07 10:25:09,3687,QDII,5698.0
172,9737,2016-04-07 10:25:09,3873,联接基金,3017.0
173,9737,2016-04-07 10:25:09,3671,货币型,20031.0
174,9738,2016-04-27 10:25:09,3349,混合型,5765.0
175,9738,2016-04-27 10:25:09,4045,QDII-指数,5676.0
176,9738,2016-04-07 10:25:09,3516,货币型,90022.0
177,9738,2016-04-27 10:25:09,3754,债券型,485105.0
178,9738,2016-04-27 10:25:09,3480,QDII,320013.0
179,9738,2016-04-27 10:25:09,3814,定开债券,3274.0
180,9739,2016-04-07 10:25:09,3525,其他型,3385.0
181,9739,2016-04-07 10:25:09,4058,混合型,2270.0
182,9739,2016-04-27 10:25:09,3540,定开债券,111.0
183,9739,2016-04-07 10:25:09,3617,联接基金,8.0
184,9739,2016-04-07 10:25:09,3965,QDII-指数,160416.0
185,9739,2016-04-07 10:25:09,3639,理财型,470014.0
186,9740,2016-04-27 10:25:09,3626,定开债券,3324.0
187,9740,2016-04-27 10:25:09,3572,货币型,882.0
188,9740,2016-04-27 10:25:09,3918,货币型,4841.0
189,9740,2016-04-07 10:25:09,3432,定开债券,2924.0
190,9740,2016-04-07 10:25:09,4030,定开债券,2946.0
191,9741,2016-04-07 10:25:09,4024,定开债券,160523.0
192,9741,2016-04-07 10:25:09,3525,其他型,989.0
193,9741,2016-04-07 10:25:09,3882,QDII-指数,4243.0
194,9741,2016-04-27 10:25:09,3451,股票型,978.0
195,9741,2016-04-27 10:25:09,3913,理财型,270046.0
196,9742,2016-04-07 10:25:09,3442,理财型,485122.0
