,User,FundCode,Point,Type
0,0,867,1.032669153210578,C3
1,0,264,1.0680342487537013,C3
2,0,39,1.0305738679138343,C3
3,0,1097,1.0540452250032486,C3
4,0,367,1.0464427913014758,C3
5,0,172,1.0338002546141352,C3
6,0,363,1.049285565596986,C3
7,0,893,1.0406174728932989,C3
8,0,83,1.0458749893886832,C3
9,0,831,1.0278536115843633,C3
10,0,72,1.0498782233333375,C3
11,0,167,1.0543914308777054,C3
12,0,21,1.0596275112729132,C3
13,0,63,1.028303741593722,C3
14,0,955,1.0345375077799042,C3
15,0,398,1.034900721480442,C3
16,1,83,1.0689091382771572,C3
17,1,1917,1.03938031729811,C3
18,1,58,1.0440869929103513,C3
19,1,72,1.0464438455907235,C3
20,1,17,1.0400060225531726,C3
21,1,196,1.0310514677404463,C3
22,1,2289,1.0349281339984286,C3
23,1,1692,1.0295483094430278,C3
24,1,242,1.0460215776005093,C3
25,1,866,1.0425954395781254,C3
26,1,1,1.0368741757281217,C3
27,1,308,1.038678149939056,C3
28,1,273,1.043020873539468,C3
29,1,328,1.0482501088051426,C3
30,1,190,1.0358981455135807,C3
31,1,1186,1.0324195405936105,C3
32,1,215,1.031840015687344,C3
33,2,1236,1.022741029591979,C1
34,2,2289,1.0197271910238603,C1
35,2,3492,1.023815932176309,C1
36,2,1651,1.048388520572767,C1
37,2,411,1.0568003547957943,C1
38,2,756,1.028362755678401,C1
39,2,1230,1.0243588884574393,C1
40,2,1482,1.0320232885783365,C1
41,2,409,1.0470271098591295,C1
42,2,1476,1.0556065841933537,C1
43,2,1047,1.0273408337221124,C1
44,2,1717,1.0247985248072131,C1
45,2,1496,1.0188840042785017,C1
46,2,751,1.0176912274831007,C1
47,2,1245,1.0201984433698086,C1
48,2,978,1.0186518950122554,C1
49,2,866,1.018239229455563,C1
50,2,1938,1.0177372929725224,C1
51,2,1696,1.0170440468021722,C1
52,2,524,1.0179296804957783,C1
53,2,1044,1.0209152391177057,C1
54,2,2861,1.027817597017065,C1
55,2,1040,1.0281159773448114,C1
56,2,1849,1.033246260605462,C1
57,2,326,1.0228186526333882,C1
58,3,215,1.036797330821712,C2
59,3,1651,1.0426595556764227,C2
60,3,979,1.0325905935269435,C2
61,3,126,1.0310383727302184,C2
62,3,121,1.0207451602932607,C2
63,3,58,1.0797870708769082,C2
64,3,165,1.0210616038320413,C2
65,3,66,1.0401087459092537,C2
66,3,273,1.066264705739638,C2
67,3,17,1.0272675485439446,C2
68,3,263,1.0371247104111694,C2
69,3,1678,1.042819432119802,C2
70,3,339,1.0385581981184662,C2
71,3,219,1.0274969186934857,C2
72,3,124,1.032255296267588,C2
73,3,592,1.0300781805262955,C2
74,3,367,1.0230815030898472,C2
75,3,1672,1.0245011759754372,C2
76,3,2229,1.0361453358152997,C2
77,4,1162,1.0230223232118285,C1
78,4,1915,1.0291318372992884,C1
79,4,1105,1.0185914364536666,C1
80,4,996,1.018604467647972,C1
81,4,1825,1.0192580616025195,C1
82,4,3233,1.0233189827820208,C1
83,4,2121,1.0302897313042922,C1
84,4,1542,1.0192178231202385,C1
85,4,913,1.0303460725287725,C1
86,4,1178,1.0216921306674975,C1
87,4,867,1.031132149962754,C1
88,4,1917,1.029203590304604,C1
89,4,1637,1.0183405632080582,C1
90,4,120,1.0228835400609921,C1
91,4,1167,1.0172452051531007,C1
92,4,978,1.0210066877797535,C1
93,4,2334,1.029933321956126,C1
94,4,1718,1.0178506025858876,C1
95,4,831,1.0253965337728892,C1
96,4,1054,1.0258122349659298,C1
97,4,1072,1.0160794666301698,C1
98,4,592,1.0266641813296746,C1
99,4,1626,1.0311800130888034,C1
100,4,1764,1.0178347850164942,C1
101,4,3053,1.028074043684667,C1
102,4,2872,1.017484782560286,C1
103,4,3299,1.0286367410378043,C1
104,4,2952,1.0209709931510533,C1
105,4,971,1.0306391083677422,C1
106,5,220,1.0513021686198702,C3
107,5,21,1.0402371656381773,C3
108,5,308,1.1091144195676603,C3
109,5,893,1.025054886483742,C3
110,5,339,1.0370847131743306,C3
111,5,166,1.0431561034763708,C3
112,5,241,1.0289188940385212,C3
113,5,17,1.0497016236575452,C3
114,5,2387,1.0483815696545762,C3
115,5,1579,1.039079511115047,C3
116,5,72,1.0453045297304937,C3
117,5,559,1.031084956452007,C3
118,5,398,1.0336887472174934,C3
119,5,196,1.0336463428951321,C3
120,5,1105,1.0319497139931242,C3
121,5,1223,1.0430199349409082,C3
122,6,1166,1.0177549227273697,C1
123,6,711,1.017970347668629,C1
124,6,1008,1.0595870188708476,C1
125,6,586,1.02108427661884,C1
126,6,780,1.0167076380462245,C1
127,6,1042,1.0307278105948152,C1
128,6,1678,1.023936011946146,C1
129,6,3312,1.021864853226328,C1
130,6,960,1.0248466495340518,C1
131,6,1577,1.0569174810333712,C1
132,6,697,1.0180274745698052,C1
133,6,854,1.0271111430376922,C1
134,6,696,1.0249850575491088,C1
135,6,1186,1.0223390759266036,C1
136,6,3054,1.0297936775266057,C1
137,6,1705,1.0287457068613022,C1
138,6,1663,1.0281597169777394,C1
139,6,1223,1.0444078007902342,C1
140,6,120,1.017804212186293,C1
141,6,3492,1.0236984557564395,C1
142,6,1877,1.0279517880250595,C1
143,6,1736,1.029307828365164,C1
144,6,1188,1.025688701631561,C1
145,6,1718,1.026443680038575,C1
146,6,867,1.0245642823796022,C1
147,7,1409,1.0231862806024759,C1
148,7,1410,1.0288560460998075,C1
149,7,761,1.026418476230341,C1
150,7,1223,1.0419275118708233,C1
151,7,3312,1.0276545441699816,C1
152,7,1915,1.0224968506502838,C1
153,7,1163,1.0258030365967394,C1
154,7,2121,1.0359951281361186,C1
155,7,831,1.0279399036999546,C1
156,7,974,1.023845571593879,C1
157,7,586,1.0331275277531746,C1
158,7,1040,1.0195032724446282,C1
159,7,1696,1.022536172824523,C1
160,7,1638,1.0174565729756626,C1
161,7,1188,1.0174728720228452,C1
162,7,688,1.017796161330495,C1
163,7,866,1.0193858972229857,C1
164,7,1663,1.0165364728720225,C1
165,7,711,1.026825462576284,C1
166,7,2595,1.020099549043724,C1
167,7,471,1.0258169522672804,C1
168,7,1178,1.0163089852231195,C1
169,7,362,1.028714978733825,C1
170,7,1714,1.0213181440958483,C1
171,7,1703,1.0166276840544572,C1
172,7,1416,1.0230624871233522,C1
173,7,2300,1.0221093749864336,C1
174,7,1975,1.0217624125327658,C1
175,7,2861,1.0197507926418714,C1
176,8,1245,1.0339538064344846,C2
177,8,3232,1.0337320378227333,C2
178,8,362,1.034244120902412,C2
179,8,63,1.031224858739577,C2
