,Unnamed: 0,FundCode,名称,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模
0,0,1,华夏成长混合,4,0.0147,0.1411,0.0727,5,47.14
1,1,3,中海可转债债券A,2,0.0449,0.1103,-0.1553,5,0.78
2,2,4,中海可转债债券C,2,0.0448,0.1118,-0.1609,5,0.42
3,3,6,西部利得量化成长混合,4,0.0736,--,--,5,1.37
4,4,9,易方达天天理财货币A,3,0.002,0.028,0.107,2,232.53
5,5,10,易方达天天理财货币B,3,0.0023,0.0305,0.1151,2,317.63
6,6,11,华夏大盘精选混合,4,-0.0157,0.1628,0.337,5,51.93
7,7,13,易方达天天理财货币R,3,0.0023,0.0306,0.1154,1,26.83
8,8,14,华夏聚利债券,2,0.0228,0.0755,0.0237,3,1.14
9,9,15,华夏纯债债券A,2,0.0098,0.0632,0.1011,6,21.16
10,10,16,华夏纯债债券C,2,0.01,0.0595,0.0869,6,3.18
11,11,17,财通可持续混合,4,0.0527,0.2602,0.1738,5,1.19
12,12,20,景顺长城品质投资混合,4,0.0881,0.2456,0.3782,5,4.17
13,13,21,华夏优势增长混合,4,0.0534,0.1136,-0.0308,5,51.99
14,14,24,大摩双利增强债券A,2,0.0077,0.0629,0.1182,6,22.79
15,15,25,大摩双利增强债券C,2,0.0078,0.0591,0.1062,6,8.42
16,16,28,华富安鑫债券,2,0.0203,0.0387,0.056,6,0.89
17,17,29,富国宏观策略灵活配置混合,4,0.0828,0.2399,0.4382,5,2.2
18,18,30,长城核心优选混合,4,0.0134,0.0715,0.0983,5,3.35
19,19,31,华夏复兴混合,4,0.1293,0.286,-0.15,5,12.78
20,20,32,易方达信用债债券A,2,0.0097,0.0719,0.1287,6,26.68
21,21,33,易方达信用债债券C,2,0.0098,0.0699,0.1194,6,5.76
22,22,39,农银高增长混合,4,0.0883,0.095,-0.084,5,3.24
23,23,45,工银产业债债券A,2,0.0106,0.0927,0.1484,3,6.67
24,24,46,工银产业债债券B,2,0.0101,0.0905,0.1351,3,0.78
